params/gae_lambda,time/fps,params/rollout_buffer_class,rollout/ep_len_mean,time/time_elapsed,params/sde_sample_freq,params/rollout_buffer_kwargs,params/learning_rate,params/use_sde,params/verbose,params/batch_size,params/ent_coef,time/iterations,params/clip_range_vf,params/n_epochs,params/max_grad_norm,params/stats_window_size,params/target_kl,params/policy_kwargs,params/gamma,params/seed,params/policy,params/vf_coef,params/normalize_advantage,rollout/ep_rew_mean,params/device,params/_init_setup_model,time/total_timesteps,params/n_steps,params/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,mean_reward,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,14,,15.05,341,,,,,,,,10,,,,,,,,,,,,-0.38341647000000006,,,5120,,,,,,,,-0.02539183,,,,,,,
,14,,15.05,376,,,,,,,,11,,,,,,,,,,,,-0.30006686000000005,,,5632,,,-1.7250635353001682,9.987200000000001e-05,-0.010272403099489484,0.015029522,0.13037735223770142,,0.17569352686405182,0.2,0.07546164772727272,0.005728080868721008,146,,
,15,,15.05,409,,,,,,,,12,,,,,,,,,,,,-0.28743737,,,6144,,,-1.7387654542922975,9.985920000000001e-05,-0.007572337208936612,0.006967507,0.020875632762908936,-0.018302593,0.20287469228108723,0.2,0.018880208333333332,0.006200976669788361,161,,
,15,,15.0,442,,,,,,,,13,,,,,,,,,,,,-0.25256807000000003,,,6656,,,-1.7404451449712117,9.984640000000001e-05,-0.01207633485707144,0.008403698,-0.03490328788757324,,0.1739920496940613,0.2,0.035807291666666664,-0.008526541292667389,176,,
,15,,15.0,474,,,,,,,,14,,,,,,,,,,,,-0.28364963000000004,,,7168,,,-1.7195603171984355,9.98336e-05,-0.014312868673975269,0.007397138,-0.11590778827667236,-0.017559044,0.19546497662862142,0.2,0.06380208333333333,-0.008976832032203674,191,,
,15,,15.0,508,,,,,,,,15,,,,,,,,,,,,-0.19997449,,,7680,,,-1.71276513338089,9.98208e-05,-0.011029115055377285,0.006102728,0.12160372734069824,,0.16804227928320567,0.2,0.007552083333333333,-0.004677608609199524,206,,
,15,,15.0,542,,,,,,,,16,,,,,,,,,,,,-0.22447902,,,8192,,,-1.7160444299379984,9.9808e-05,-0.010133766833071907,0.005107682,-0.10807609558105469,-0.010018214,0.21470909416675568,0.2,0.01953125,0.013387441635131836,221,,
,15,,15.0,579,,,,,,,,17,,,,,,,,,,,,-0.1550167,,,8704,,,-1.7114726026852927,9.97952e-05,-0.016215658032645783,0.006532938,0.0027822256088256836,,0.1873845820625623,0.2,0.07526041666666666,-0.012836754322052002,236,,
,14,,15.0,614,,,,,,,,18,,,,,,,,,,,,-0.19881424000000003,,,9216,,,-1.7034006158510844,9.97824e-05,-0.01896195827672879,0.007982698,0.022568583488464355,-0.012241096,0.2014626830816269,0.2,0.06236979166666667,-0.011515319347381592,251,,
,14,,15.0,649,,,,,,,,19,,,,,,,,,,,,-0.08727996999999998,,,9728,,,-1.692991280555725,9.97696e-05,-0.01715902267023921,0.008397359,-0.0007295608520507812,,0.19681800703207653,0.2,0.024869791666666665,-0.009647294878959656,266,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,-1.6923072298367818,9.97568e-05,-0.013244649131471912,0.0054957904,0.05323702096939087,,0.2186256522933642,0.2,0.03502604166666667,0.01186756044626236,281,15.0,-0.1270172495394945
,14,,15.05,688,,,,,,,,20,,,,,,,,,,,,-0.11492517999999999,,,10240,,,,,,,,-0.006017824,,,,,,,
,14,,15.05,723,,,,,,,,21,,,,,,,,,,,,-0.11293291999999999,,,10752,,,-1.7047704736391702,9.9744e-05,-0.017570998566225172,0.007616287,-0.1421375274658203,,0.20882188429435095,0.2,0.073828125,0.0024327412247657776,296,,
,14,,15.05,758,,,,,,,,22,,,,,,,,,,,,-0.20320353999999996,,,11264,,,-1.719200919974934,9.97312e-05,-0.015812364703213625,0.015043031,0.11539536714553833,-0.0124485,0.18491808663715015,0.2,0.10031960227272728,-0.004395350813865662,307,,
,14,,15.0,791,,,,,,,,23,,,,,,,,,,,,-0.20682987,,,11776,,,-1.7170329491297405,9.97184e-05,-0.01836472953048845,0.009694636,0.033806681632995605,,0.18092167526483535,0.2,0.08229166666666667,-0.015298761427402496,322,,
,14,,15.0,825,,,,,,,,24,,,,,,,,,,,,-0.07740675000000001,,,12288,,,-1.7149201075236002,9.97056e-05,-0.018884046624104183,0.010611187,-0.10888254642486572,-0.009213073,0.21247966438531876,0.2,0.067578125,-0.003535337746143341,337,,
,14,,15.0,859,,,,,,,,25,,,,,,,,,,,,-0.10178795000000002,,,12800,,,-1.7173171679178874,9.96928e-05,-0.016596765924866,0.010014072,0.054920971393585205,,0.20132577568292617,0.2,0.08359375,0.004359602928161621,352,,
,14,,15.0,894,,,,,,,,26,,,,,,,,,,,,-0.07369630999999999,,,13312,,,-1.6986679275830587,9.968000000000001e-05,-0.0269002890214324,0.013219582,0.12822920083999634,-0.007904035,0.19523608734210332,0.2,0.17109375,-0.007816307246685028,367,,
,14,,15.0,930,,,,,,,,27,,,,,,,,,,,,-0.07358599,,,13824,,,-1.6916059017181397,9.966720000000001e-05,-0.019489401687557497,0.00970678,-0.05233645439147949,,0.21978238373994827,0.2,0.09622395833333333,3.8020312786102295e-05,382,,
,14,,15.0,963,,,,,,,,28,,,,,,,,,,,,0.01457802999999999,,,14336,,,-1.6879790425300598,9.96544e-05,-0.018769390198091665,0.008741707,0.029898345470428467,0.0037300203,0.20199028352896373,0.2,0.04895833333333333,-0.001886896789073944,397,,
,14,,15.0,997,,,,,,,,29,,,,,,,,,,,,0.04445304000000001,,,14848,,,-1.7229138612747192,9.96416e-05,-0.0065628401935100555,0.012896618,0.00011849403381347656,,0.23735572211444378,0.2,0.07275390625,0.05144163966178894,401,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,-1.7165965874989828,9.96288e-05,-0.019868020915115872,0.008277731,0.052984774112701416,,0.18928143133719763,0.2,0.07825520833333334,-0.020950332283973694,416,15.0,-0.682945042476058
,14,,15.05,1036,,,,,,,,30,,,,,,,,,,,,-0.006389519999999979,,,15360,,,,,,,,-0.0014513927,,,,,,,
,14,,15.05,1070,,,,,,,,31,,,,,,,,,,,,-0.040482509999999985,,,15872,,,-1.7184436837832133,9.9616e-05,-0.02154064990269641,0.008250119,-0.013939976692199707,,0.2206088935335477,0.2,0.03359375,-0.00785055011510849,431,,
,14,,15.05,1105,,,,,,,,32,,,,,,,,,,,,0.02066509000000001,,,16384,,,-1.695052413145701,9.96032e-05,-0.021694225103904802,0.009717134,-0.025589585304260254,-0.0035994763,0.21517402827739715,0.2,0.07473958333333333,-0.010519057512283325,446,,
,14,,15.0,1139,,,,,,,,33,,,,,,,,,,,,0.05641740999999999,,,16896,,,-1.710295073191325,9.959040000000001e-05,-0.025244822120293976,0.007954208,0.09161072969436646,,0.20427405834197998,0.2,0.08802083333333334,-0.0013132840394973755,461,,
,14,,15.0,1173,,,,,,,,34,,,,,,,,,,,,0.047770799999999995,,,17408,,,-1.714725172519684,9.957760000000001e-05,-0.023115069248403113,0.008338602,-0.048871755599975586,0.011410438,0.20919242451588313,0.2,0.04934895833333333,-0.012953221797943115,476,,
,14,,15.0,1207,,,,,,,,35,,,,,,,,,,,,0.004507810000000008,,,17920,,,-1.683842623233795,9.95648e-05,-0.022911049922307334,0.009516319,-0.0015577077865600586,,0.21362244784832002,0.2,0.07278645833333333,-0.012241758406162262,491,,
,14,,15.0,1240,,,,,,,,36,,,,,,,,,,,,-0.02172656,,,18432,,,-1.6719200531641643,9.955200000000001e-05,-0.027981954362864294,0.008334089,0.05560857057571411,-0.0069653117,0.200068266193072,0.2,0.08033854166666667,-0.028603121638298035,506,,
,14,,15.0,1275,,,,,,,,37,,,,,,,,,,,,0.028898889999999997,,,18944,,,-1.6743853251139322,9.953920000000001e-05,-0.02677244572745015,0.011919247,0.044508159160614014,,0.17083435729146004,0.2,0.09427083333333333,-0.044869158416986465,521,,
,14,,15.0,1309,,,,,,,,38,,,,,,,,,,,,0.12840959999999998,,,19456,,,-1.6699788157756512,9.952640000000001e-05,-0.021794919981263004,0.012893229,-0.04054415225982666,0.007433451,0.2112703930873137,0.2,0.09359975961538461,-0.014561720192432404,534,,
,14,,15.0,1343,,,,,,,,39,,,,,,,,,,,,0.14913683,,,19968,,,-1.6278956413269043,9.951360000000001e-05,-0.028742257598787548,0.011661561,-0.29683876037597656,,0.243422299126784,0.2,0.11822916666666666,0.0002452284097671509,549,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,-1.6605025000042386,9.950080000000001e-05,-0.009745394811034203,0.01871472,-0.0217667818069458,,0.23702911535898843,0.2,0.11197916666666667,0.051368847489356995,554,15.0,0.7771675370633602
,14,,15.05,1382,,,,,,,,40,,,,,,,,,,,,0.15177504,,,20480,,,,,,,,0.011022669,,,,,,,
