player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
DJ Moore WR - CHI,16,-,-,-,24,-,76,1064,7,1,262.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tank Dell WR - HOU,16,-,-,-,67,-,78,995,6,1,257.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Christian Kirk WR - JAX Q,16,-,-,-,11,-,80,1022,6,1,257.3,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tee Higgins WR - CIN,16,-,-,-,5,-,73,1034,7,1,253.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Chris Godwin WR - TB,16,-,-,-,26,-,87,980,5,1,259.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Michael Pittman WR - IND,16,-,-,-,5,-,88,985,5,1,259.0,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Malik Nabers WR - NYG,16,-,-,-,15,-,76,1031,6,1,252.6,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Zay Flowers WR - BAL,16,-,-,-,51,-,81,932,6,1,253.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
George Pickens WR - PIT,16,-,-,-,10,-,71,1072,6,1,248.7,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Keenan Allen WR - CHI,15,-,-,-,11,-,84,933,6,1,254.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Rashee Rice WR - KC,14,-,-,-,9,-,85,917,6,1,254.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Calvin Ridley WR - TEN,16,-,-,-,34,-,72,979,6,1,243.3,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Terry McLaurin WR - WAS,16,-,-,-,6,-,75,998,5,1,240.9,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Rome Odunze WR - CHI,16,-,-,-,7,-,71,961,6,1,237.3,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jayden Reed WR - GB,16,-,-,-,76,1,71,886,5,1,236.7,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jordan Addison WR - MIN Q,15,-,-,-,18,-,69,961,6,1,235.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Xavier Worthy WR - KC,16,-,-,-,22,-,64,858,6,-,220.0,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Diontae Johnson WR - CAR,16,-,-,-,13,-,78,817,4,1,222.0,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ladd McConkey WR - LAC,16,-,-,-,11,-,64,780,6,-,211.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Courtland Sutton WR - DEN,16,-,-,-,5,-,63,846,5,1,207.6,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
