params/n_steps,params/n_epochs,params/use_sde,params/verbose,time/time_elapsed,params/max_grad_norm,params/gamma,params/rollout_buffer_class,time/total_timesteps,params/learning_rate,params/clip_range,params/rollout_buffer_kwargs,time/iterations,rollout/ep_len_mean,time/fps,params/_init_setup_model,params/vf_coef,params/normalize_advantage,params/sde_sample_freq,params/device,params/policy_kwargs,params/seed,params/ent_coef,params/policy,mean_reward,params/stats_window_size,params/batch_size,params/gae_lambda,rollout/ep_rew_mean,params/clip_range_vf,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,,,477,,,,7500,,,,10,15.0,15,,,,,,,,,,-0.90709066,,,,-0.9228844100000001,,-0.06612658500671387,9.983125e-05,0.06042889778812726,0.0055528604,-0.005421588565857031,0.2,-0.03882019221782684,0.007066666552176078,-1.7099530100822449,270,,
,,,,526,,,,8250,,,,11,15.0,15,,,,,,,,,,-0.93867815,,,,-0.8910323600000001,,-0.11200463771820068,9.98125e-05,0.044527453805009526,0.009798406,-0.006727971661339197,0.2,-0.04444856569170952,0.03986666686832905,-1.7131162643432618,300,,
,,,,575,,,,9000,,,,12,15.0,15,,,,,,,,,,-0.84338653,,,,-0.9062387599999999,,-0.06867063045501709,9.979375e-05,0.09870103696982066,0.010280394,-0.007460237945541222,0.2,-0.022662002593278885,0.029866666944387058,-1.7064349015553792,330,,
,,,,623,,,,9750,,,,13,15.0,15,,,,,,,,,,-0.93766385,,,,-0.91125854,,-0.3433666229248047,9.9775e-05,0.028760834038257597,0.009956898,-0.012797614940230063,0.2,-0.06095440313220024,0.09124444498835753,-1.6794013579686482,360,,
,,,,,,,,10000,,,,,,,,,,,,,,,,-0.8848532,,,,,,0.004610300064086914,9.975625e-05,0.11854197755455971,0.011349244,-0.014001629939398515,0.2,-0.019269458949565887,0.17626666797635457,-1.6836912393569947,390,15.0,-1.0
,,,,676,,,,10500,,,,14,15.05,15,,,,,,,,,,,,,,-0.8486308100000001,,,,,,,,,,,,,
,,,,724,,,,11250,,,,15,15.05,15,,,,,,,,,,-0.84383553,,,,-0.8744095699999999,,-0.03163349628448486,9.97375e-05,0.10459216237068177,0.007927161,-0.00865022612695013,0.2,-0.01997677981853485,0.04937777794742336,-1.691059672832489,420,,
,,,,772,,,,12000,,,,16,15.0,15,,,,,,,,,,-0.9049837,,,,-0.8794610800000001,,-0.06096756458282471,9.971875000000001e-05,0.06821693989137809,0.0050644428,-0.007702213109266509,0.2,-0.035588644444942474,0.018222221825271844,-1.6657156189282736,450,,
,,,,821,,,,12750,,,,17,15.0,15,,,,,,,,,,-0.8539385,,,,-0.8238329299999999,,0.036128103733062744,9.970000000000001e-05,0.11418871134519577,0.015769407,-0.012457723692538104,0.2,-0.01950303092598915,0.0826222227110217,-1.640088967482249,480,,
,,,,868,,,,13500,,,,18,15.0,15,,,,,,,,,,-0.79372734,,,,-0.83445583,,-0.06031382083892822,9.968125e-05,0.14864835540453594,0.0064502927,-0.00877912477474634,0.2,-0.002744019031524658,0.02222222191436837,-1.6393297036488852,510,,
,,,,917,,,,14250,,,,19,15.0,15,,,,,,,,,,-0.8751843,,,,-0.89125755,,-0.19907355308532715,9.96625e-05,0.08672088260451953,0.008731676,-0.014633654126328317,0.2,-0.04078832268714905,0.0827999994934847,-1.621911378701528,540,,
,,,,,,,,15000,,,,,,,,,,,,,,,,-0.90733075,,,,,,-0.03951287269592285,9.964374999999999e-05,0.06613263723750909,0.009686012,-0.01706556433672084,0.2,-0.046644508838653564,0.07586666629649699,-1.5688536127408346,570,15.0,-1.0
,,,,970,,,,15000,,,,20,15.0,15,,,,,,,,,,,,,,-0.9065925,,,,,,,,,,,,,
,,,,1019,,,,15750,,,,21,15.05,15,,,,,,,,,,-0.90585417,,,,-0.9067742799999999,,-0.12371194362640381,9.962500000000001e-05,0.06673491261899471,0.007744251,-0.01598611797460663,0.2,-0.04593324661254883,0.055911111544507244,-1.5574364105860392,600,,
,,,,1067,,,,16500,,,,22,15.05,15,,,,,,,,,,-0.90769434,,,,-0.8762826499999999,,-0.04796493053436279,9.960625e-05,0.06353299754361312,0.006663876,-0.012582133845891796,0.2,-0.043276455253362656,0.052755556100358564,-1.587745451927185,630,,
,,,,1115,,,,17250,,,,23,15.0,15,,,,,,,,,,-0.8448709,,,,-0.8282253100000001,,0.00484853982925415,9.95875e-05,0.09753228177626928,0.0064700777,-0.013813444396522307,0.2,-0.031319573521614075,0.033066666979963584,-1.5734578649202982,660,,
,,,,1165,,,,18000,,,,24,15.0,15,,,,,,,,,,-0.81157964,,,,-0.82926565,,-0.11487472057342529,9.956875e-05,0.1262063865860303,0.008749665,-0.015910512282647577,0.2,-0.021089401096105576,0.08302222173660993,-1.5868072112401326,690,,
,,,,1213,,,,18750,,,,25,15.0,15,,,,,,,,,,-0.81623477,,,,-0.81939125,,-0.134033203125,9.955000000000001e-05,0.09955618306994438,0.008774176,-0.019917605485394584,0.2,-0.038359176367521286,0.0983999998619159,-1.554083510239919,720,,
,,,,1262,,,,19500,,,,26,15.0,15,,,,,,,,,,-0.82254773,,,,-0.7761939800000001,,-0.007748603820800781,9.953125000000001e-05,0.14752247234185537,0.009527127,-0.020458336492089762,0.2,-0.01941496878862381,0.10875555532984435,-1.535010000069936,750,,
,,,,,,,,20000,,,,,,,,,,,,,,,,-0.7605571,,,,,,-0.07740151882171631,9.95125e-05,0.17403977016607922,0.0074783936,-0.017215964530630855,0.2,-0.0020730793476104736,0.0325777779178073,-1.5021642923355103,780,15.0,-0.6805907487869263
,,,,1315,,,,20250,,,,27,15.05,15,,,,,,,,,,,,,,-0.6978420799999999,,,,,,,,,,,,,
,,,,1363,,,,21000,,,,28,15.05,15,,,,,,,,,,-0.6351271,,,,-0.75481281,,0.043823421001434326,9.949375e-05,0.2086947227517764,0.009215641,-0.01921715405847776,0.2,0.006746947765350342,0.07973333342621723,-1.5286226550738016,810,,
,,,,1411,,,,21750,,,,29,15.0,15,,,,,,,,,,-0.8744986,,,,-0.8640428800000001,,-0.3028290271759033,9.9475e-05,0.1020188458263874,0.010017159,-0.017182385084208936,0.2,-0.03493518754839897,0.12804444467959306,-1.5365073998769125,840,,
,,,,1458,,,,22500,,,,30,15.0,15,,,,,,,,,,-0.75966734,,,,-0.7541358800000001,,-0.04878950119018555,9.945625000000001e-05,0.12203512315948804,0.011388363,-0.017879984229407273,0.2,-0.025598883628845215,0.10053333391745885,-1.5266143878300984,870,,
,,,,1506,,,,23250,,,,31,15.0,15,,,,,,,,,,-0.7170822,,,,-0.7227782400000001,,-0.11098051071166992,9.94375e-05,0.18966604471206666,0.00956328,-0.020153433807592634,0.2,-0.004780881106853485,0.0736888884799555,-1.5200722932815551,900,,
,,,,1555,,,,24000,,,,32,15.0,15,,,,,,,,,,-0.75885946,,,,-0.65394418,,-0.03574860095977783,9.941875e-05,0.15014428148667017,0.011141623,-0.023270829474470685,0.2,-0.022496752440929413,0.12097777842233579,-1.4919782280921936,930,,
,,,,1604,,,,24750,,,,33,15.0,15,,,,,,,,,,-0.58055115,,,,-0.6534056800000001,,-0.029623985290527344,9.94e-05,0.2931145985921224,0.0073959255,-0.017575342682935317,0.2,0.0546349361538887,0.06991111089785894,-1.4767934083938599,960,,
,,,,,,,,25000,,,,,,,,,,,,,,,,-0.7585068,,,,,,-0.22214257717132568,9.938125e-05,0.175210835536321,0.015066039,-0.02314094261088678,0.2,-0.015148617327213287,0.13715555629848192,-1.4859571695327758,990,15.0,-1.0
,,,,1656,,,,25500,,,,34,15.05,15,,,,,,,,,,,,,,-0.7181044400000001,,,,,,,,,,,,,
,,,,1704,,,,26250,,,,35,15.05,15,,,,,,,,,,-0.6140682,,,,-0.6713208399999999,,-0.048635244369506836,9.936250000000001e-05,0.2557961722215017,0.009018983,-0.021378769325568443,0.2,0.03402327746152878,0.06008888916112483,-1.4927087346712749,1020,,
,,,,1753,,,,27000,,,,36,15.0,15,,,,,,,,,,-0.7598616,,,,-0.6809032500000001,,-0.006730318069458008,9.934375e-05,0.20144235889116924,0.009071552,-0.024635835871617825,0.2,0.00408385694026947,0.11377777786304553,-1.5241101741790772,1050,,
,,,,1800,,,,27750,,,,37,15.0,15,,,,,,,,,,-0.6655788,,,,-0.6499897,,0.027662932872772217,9.932500000000002e-05,0.2089033489425977,0.010481027,-0.025147030775693965,0.2,0.005507707595825195,0.08075555604882538,-1.4962165276209514,1080,,
,,,,1848,,,,28500,,,,38,15.0,15,,,,,,,,,,-0.6027623,,,,-0.68086523,,-0.02955305576324463,9.930625e-05,0.29776592751344044,0.010342919,-0.02573142125277469,0.2,0.040905773639678955,0.12568888946746787,-1.4833186427752176,1110,,
,,,,1897,,,,29250,,,,39,15.0,15,,,,,,,,,,-0.7277271,,,,-0.49408724,,-0.12475752830505371,9.928750000000001e-05,0.19706636667251587,0.00986985,-0.024951111404090714,0.2,-0.0009437128901481628,0.13835555569579203,-1.4959012746810914,1140,,
,,,,,,,,30000,,,,,,,,,,,,,,,,-0.22936435,,,,,,-0.0582348108291626,9.926875e-05,0.4895390858252843,0.008207608,-0.02137696049894829,0.2,0.13841551542282104,0.059822222031652925,-1.4689441601435342,1170,15.0,0.15793347358703613
,,,,1950,,,,30000,,,,40,15.0,15,,,,,,,,,,,,,,-0.22851678,,,,,,,,,,,,,
,,,,1999,,,,30750,,,,41,15.05,15,,,,,,,,,,-0.19598141,,,,-0.31196097999999994,,-0.008288741111755371,9.925e-05,0.4638319849967957,0.011651891,-0.027107468588277683,0.2,0.11677613109350204,0.09626666685411085,-1.472506614526113,1200,,
,,,,2047,,,,31500,,,,42,15.05,15,,,,,,,,,,-0.38692582,,,,-0.42170446999999994,,-0.012138009071350098,9.923125e-05,0.399567636847496,0.013006258,-0.031083971615146075,0.2,0.08975620567798615,0.10586666650294016,-1.4304917017618815,1230,,
,,,,2095,,,,32250,,,,43,15.0,15,,,,,,,,,,-0.5194121,,,,-0.32671513999999996,,0.0004208087921142578,9.92125e-05,0.3627491901318232,0.009974733,-0.027200134186731232,0.2,0.0757056474685669,0.08444444490596652,-1.3993659416834514,1260,,
,,,,2143,,,,33000,,,,44,15.0,15,,,,,,,,,,-0.20585884,,,,-0.25762132,,-0.06719958782196045,9.919375000000001e-05,0.43490029176076256,0.011814796,-0.029320765346692243,0.2,0.10687566548585892,0.10013333358801901,-1.4143966754277548,1290,,
,,,,2191,,,,33750,,,,45,15.0,15,,,,,,,,,,-0.25753188,,,,-0.19363774,,-0.03565168380737305,9.917500000000001e-05,0.4482870986064275,0.011428986,-0.029035535161642125,0.2,0.11582542210817337,0.11004444520610074,-1.4107360005378724,1320,,
,,,,2239,,,,34500,,,,46,15.0,15,,,,,,,,,,-0.16163914,,,,-0.16870650999999998,,-0.006749987602233887,9.915625000000001e-05,0.4167425900697708,0.008868938,-0.026533576329373195,0.2,0.10481920838356018,0.08542222191269198,-1.4038891116778056,1350,,
,,,,,,,,35000,,,,,,,,,,,,,,,,-0.13314945,,,,,,0.01382458209991455,9.91375e-05,0.46053758362929026,0.015150662,-0.03438024639499684,0.2,0.11404688656330109,0.1081777777367582,-1.366461463769277,1380,15.0,1.4004766941070557
,,,,2290,,,,35250,,,,47,15.05,15,,,,,,,,,,,,,,-0.25192287999999996,,,,,,,,,,,,,
,,,,2338,,,,36000,,,,48,15.05,15,,,,,,,,,,-0.33910933,,,,-0.18770726000000004,,0.06303554773330688,9.911875000000001e-05,0.40571929812431334,0.0106280325,-0.031186655617650178,0.2,0.08905711770057678,0.1264444447432955,-1.373498257001241,1410,,
,,,,2387,,,,36750,,,,49,15.0,15,,,,,,,,,,-0.09872363,,,,0.026545759999999995,,0.02780306339263916,9.91e-05,0.4398156483968099,0.0110621555,-0.029762007975774923,0.2,0.10132289677858353,0.07982222143715868,-1.3569552779197693,1440,,
,,,,2437,,,,37500,,,,50,15.0,15,,,,,,,,,,0.20371887,,,,0.13019666000000002,,0.06761306524276733,9.908125e-05,0.4727222631374995,0.011057638,-0.027320936789653357,0.2,0.13105079531669617,0.12537777858475843,-1.318281352519989,1470,,
,,,,2484,,,,38250,,,,51,15.0,15,,,,,,,,,,0.1293627,,,,0.07280725,,-0.009920716285705566,9.90625e-05,0.5844300309816997,0.010178707,-0.02890367795657364,0.2,0.1727963387966156,0.11262222204823047,-1.3093638300895691,1500,,
,,,,2532,,,,39000,,,,52,15.0,15,,,,,,,,,,0.0051608966,,,,0.15577312000000001,,-0.03944969177246094,9.904375e-05,0.4809071719646454,0.011664248,-0.03152882700474517,0.2,0.11353029310703278,0.13386666737496852,-1.2891097704569499,1530,,
,,,,2580,,,,39750,,,,53,15.0,15,,,,,,,,,,0.23315123,,,,0.31754995999999996,,0.014837503433227539,9.902500000000001e-05,0.4695051223039627,0.012790071,-0.027353598343234312,0.2,0.11363812536001205,0.10626666718162596,-1.2985688169797263,1560,,
,,,,,,,,40000,,,,,,,,,,,,,,,,0.46481636,,,,,,-0.027167201042175293,9.900625000000001e-05,0.4849989712238312,0.01114728,-0.031668901219881224,0.2,0.12394233793020248,0.0904000007857879,-1.2828334768613179,1590,15.0,1.4184651851654053
,,,,2633,,,,40500,,,,54,15.05,15,,,,,,,,,,,,,,0.33614159,,,,,,,,,,,,,
,,,,2683,,,,41250,,,,55,15.05,15,,,,,,,,,,0.23894058,,,,0.4153589799999999,,0.01946169137954712,9.898750000000001e-05,0.38196588853995006,0.016014125,-0.03574864420659012,0.2,0.06976138055324554,0.13791111080596843,-1.2737240115801494,1620,,
,,,,2731,,,,42000,,,,56,15.0,15,,,,,,,,,,0.48804313,,,,0.45760468000000004,,-0.11525726318359375,9.896875e-05,0.5080604960521062,0.011150599,-0.03125176359243277,0.2,0.13739097118377686,0.10568888839334249,-1.238321840763092,1650,,
,,,,2780,,,,42750,,,,57,15.0,15,,,,,,,,,,0.5002022,,,,0.41633280999999994,,-0.037772178649902344,9.895e-05,0.4583314011494319,0.014931874,-0.034624259812943654,0.2,0.11010651290416718,0.12493333242212733,-1.2189852794011433,1680,,
,,,,2828,,,,43500,,,,58,15.0,15,,,,,,,,,,0.33191776,,,,0.5612136299999999,,-0.02998673915863037,9.893125e-05,0.5122759540875753,0.015677523,-0.03649627256771136,0.2,0.13475863635540009,0.12817777808134753,-1.1989612142244974,1710,,
,,,,2877,,,,44250,,,,59,15.0,15,,,,,,,,,,0.77026826,,,,0.6495963899999999,,-0.005728483200073242,9.89125e-05,0.45135191281636555,0.009801513,-0.027221772458435347,0.2,0.11769389361143112,0.1201333326442788,-1.2369732817014059,1740,,
,,,,,,,,45000,,,,,,,,,,,,,,,,0.6344776,,,,,,-0.08801913261413574,9.889375e-05,0.5086816310882568,0.014247476,-0.031041708613683768,0.2,0.13114997744560242,0.15697777792811393,-1.2038360913594564,1770,15.0,1.0038415312767028
,,,,2930,,,,45000,,,,60,15.0,15,,,,,,,,,,,,,,0.63962408,,,,,,,,,,,,,
,,,,2979,,,,45750,,,,61,15.05,15,,,,,,,,,,0.6429369,,,,0.6976474300000001,,-0.0355679988861084,9.8875e-05,0.35623666147391003,0.013726973,-0.031104359669362504,0.2,0.06951247900724411,0.14195555585126082,-1.186008099714915,1800,,
,,,,3027,,,,46500,,,,62,15.05,15,,,,,,,,,,0.7299961,,,,0.62355034,,0.03352230787277222,9.885625000000001e-05,0.352843435605367,0.0113294795,-0.02782980549724566,0.2,0.07635527104139328,0.10053333354492983,-1.1667570392290751,1830,,
,,,,3075,,,,47250,,,,63,15.0,15,,,,,,,,,,0.53948665,,,,0.70505522,,-0.008502840995788574,9.883750000000001e-05,0.3714808523654938,0.011043243,-0.025421325417620957,0.2,0.08523358404636383,0.09888888819453617,-1.1840446988741558,1860,,
,,,,3122,,,,48000,,,,64,15.0,15,,,,,,,,,,0.80739903,,,,0.8587875699999998,,-0.012922406196594238,9.881875000000001e-05,0.25694572776556013,0.009944833,-0.028421528041931883,0.2,0.028937041759490967,0.13302222186078627,-1.1479107975959777,1890,,
,,,,3170,,,,48750,,,,65,15.0,15,,,,,,,,,,0.90970117,,,,0.82306093,,-0.005846738815307617,9.88e-05,0.4102905730406443,0.012480867,-0.028843269539841763,0.2,0.10404938459396362,0.11080000021805365,-1.1356085777282714,1920,,
,,,,3217,,,,49500,,,,66,15.0,15,,,,,,,,,,0.82139885,,,,0.8788674699999999,,0.00027823448181152344,9.878125e-05,0.42571318248907725,0.016725805,-0.0374661064018806,0.2,0.09990590065717697,0.14177777816075832,-1.139527932802836,1950,,
,,,,,,,,50000,,,,,,,,,,,,,,,,0.9365442,,,,,,0.025211691856384277,9.87625e-05,0.34732549885908764,0.011548027,-0.030101434538968755,0.2,0.0730135515332222,0.10502222273498774,-1.1310610214869181,1980,15.0,1.6118390798568725
,,,,3269,,,,50250,,,,67,15.05,15,,,,,,,,,,,,,,0.8874980699999999,,,,,,,,,,,,,
,,,,3317,,,,51000,,,,68,15.05,15,,,,,,,,,,0.7139465,,,,0.8224936100000001,,-0.06737911701202393,9.874375e-05,0.3620274245738983,0.01182768,-0.03186158005520703,0.2,0.07575684040784836,0.12706666626036167,-1.1434074799219767,2010,,
,,,,3364,,,,51750,,,,69,15.0,15,,,,,,,,,,0.8781719,,,,0.7562182600000001,,0.0028687715530395508,9.8725e-05,0.3170483231544495,0.011139862,-0.03281947736994676,0.2,0.05578555911779404,0.12022222317755223,-1.09741321404775,2040,,
,,,,3412,,,,52500,,,,70,15.0,15,,,,,,,,,,0.7067928,,,,0.8459410700000001,,0.02971184253692627,9.870625e-05,0.38615995943546294,0.01484637,-0.038067416587477136,0.2,0.06059664487838745,0.11622222199415168,-1.0864337921142577,2070,,
,,,,3459,,,,53250,,,,71,15.0,15,,,,,,,,,,1.0492398,,,,1.0647215500000002,,-0.04180276393890381,9.86875e-05,0.31136437753836316,0.0075736553,-0.02233206980075272,0.2,0.06183033436536789,0.09382222291703025,-1.0642810026804606,2100,,
,,,,3507,,,,54000,,,,72,15.0,15,,,,,,,,,,1.1323062,,,,0.9636689100000001,,0.02270185947418213,9.866875000000001e-05,0.19971778392791747,0.010706512,-0.02445388658704862,0.2,0.012130096554756165,0.10862222177286943,-1.0667256911595662,2130,,
,,,,3554,,,,54750,,,,73,15.0,15,,,,,,,,,,0.79507124,,,,0.9007737099999998,,-0.1579446792602539,9.865000000000001e-05,0.29550185799598694,0.012468088,-0.0276545247009438,0.2,0.04552546143531799,0.1518222216516733,-1.0537529071172078,2160,,
,,,,,,,,55000,,,,,,,,,,,,,,,,1.0058789,,,,,,0.022912263870239258,9.863125e-05,0.33701622088750205,0.012123042,-0.02956733324363204,0.2,0.061908647418022156,0.10457777820217112,-1.0628177086512247,2190,15.0,1.6028762578964233
,,,,3606,,,,55500,,,,74,15.05,15,,,,,,,,,,,,,,1.01858965,,,,,,,,,,,,,
,,,,3653,,,,56250,,,,75,15.05,15,,,,,,,,,,1.0926381,,,,1.13276528,,0.02198129892349243,9.86125e-05,0.20749879231055576,0.010160417,-0.025026088257941097,0.2,0.018994204699993134,0.09577777792389194,-1.0666215856870016,2220,,
,,,,3700,,,,57000,,,,76,15.0,15,,,,,,,,,,1.1123934,,,,1.1128696200000001,,0.08479046821594238,9.859375000000001e-05,0.2646588852008184,0.012242276,-0.025150864924159314,0.2,0.049221254885196686,0.10035555635889372,-1.0627589344978332,2250,,
,,,,3747,,,,57750,,,,77,15.0,15,,,,,,,,,,1.0711634,,,,0.9784217599999999,,-0.004872441291809082,9.8575e-05,0.272587692240874,0.010368365,-0.03044109239142596,0.2,0.03712594509124756,0.11991111145665248,-1.0419336557388306,2280,,
,,,,3793,,,,58500,,,,78,15.0,15,,,,,,,,,,0.9675761,,,,0.92008236,,-0.04647624492645264,9.855625e-05,0.35982420841852825,0.012673304,-0.03108375384292256,0.2,0.08640217036008835,0.13555555461595456,-1.0352693398793538,2310,,
,,,,3840,,,,59250,,,,79,15.0,15,,,,,,,,,,0.87411845,,,,1.0083160999999998,,-0.01600027084350586,9.85375e-05,0.38179801106452943,0.014635686,-0.03230873252033361,0.2,0.09148512035608292,0.11111111144224803,-1.0497047821680705,2340,,
,,,,,,,,60000,,,,,,,,,,,,,,,,1.0692418,,,,,,0.02027374505996704,9.851875e-05,0.3192995915810267,0.014340762,-0.02767417396638129,0.2,0.06587590277194977,0.11502222226311763,-1.08908056418101,2370,15.0,1.4109407544136048
,,,,3892,,,,60000,,,,80,15.0,15,,,,,,,,,,,,,,1.05999093,,,,,,,,,,,,,
,,,,3939,,,,60750,,,,81,15.05,15,,,,,,,,,,0.9973968,,,,1.04944182,,-0.0035796165466308594,9.850000000000001e-05,0.3159497360388438,0.012271347,-0.031200884915433016,0.2,0.06117731332778931,0.14111111088035008,-1.0780600229899089,2400,,
,,,,3986,,,,61500,,,,82,15.05,15,,,,,,,,,,1.1742319,,,,1.15344427,,0.052459776401519775,9.848125000000001e-05,0.22823591729005177,0.014900529,-0.03093074634524271,0.2,0.018880732357501984,0.12471111162255208,-1.0791457732518515,2430,,
,,,,4034,,,,62250,,,,83,15.0,15,,,,,,,,,,1.1539414,,,,1.03582113,,-0.008611321449279785,9.84625e-05,0.2359938308596611,0.013018524,-0.03265483745595234,0.2,0.020580336451530457,0.14928888889650505,-1.0503731608390807,2460,,
,,,,4082,,,,63000,,,,84,15.0,15,,,,,,,,,,0.9175458,,,,0.9095288599999999,,0.016919076442718506,9.844375e-05,0.4077476551135381,0.012793854,-0.031548900786207784,0.2,0.0977344661951065,0.1063111113694807,-1.0371626456578573,2490,,
,,,,4130,,,,63750,,,,85,15.0,15,,,,,,,,,,0.91278684,,,,1.01265981,,-0.047327637672424316,9.842500000000001e-05,0.3931031515200933,0.013782032,-0.03581033899351539,0.2,0.08425141870975494,0.1495999988168478,-1.0294635812441508,2520,,
,,,,4178,,,,64500,,,,86,15.0,15,,,,,,,,,,1.1129459,,,,1.02070989,,-0.0325775146484375,9.840625e-05,0.28602986335754393,0.01455671,-0.03426528874610861,0.2,0.042243994772434235,0.15644444475571315,-1.0221094449361166,2550,,
,,,,,,,,65000,,,,,,,,,,,,,,,,0.9279358,,,,,,-0.012662649154663086,9.83875e-05,0.2703567862510681,0.011698598,-0.02896478035344431,0.2,0.04432867467403412,0.12528888825327159,-1.022850223382314,2580,15.0,1.6081401348114013
,,,,4231,,,,65250,,,,87,15.05,15,,,,,,,,,,,,,,1.0374805499999997,,,,,,,,,,,,,
,,,,4279,,,,66000,,,,88,15.05,15,,,,,,,,,,1.1668067,,,,1.19128292,,-0.06651473045349121,9.836875e-05,0.16700218270222347,0.010255528,-0.026747188398635227,0.2,-0.007939040660858154,0.09097777881349127,-1.0313330094019573,2610,,
,,,,4326,,,,66750,,,,89,15.0,15,,,,,,,,,,1.2374644,,,,1.14322319,,0.006752312183380127,9.835e-05,0.18643678377072018,0.015065575,-0.029105196908799275,0.2,-0.0001443624496459961,0.12080000080168248,-1.0366326014200846,2640,,
,,,,4373,,,,67500,,,,90,15.0,15,,,,,,,,,,1.0492996,,,,1.0899303299999998,,-0.05321991443634033,9.833125000000001e-05,0.3688509792089462,0.011539883,-0.029559923691985488,0.2,0.08559899777173996,0.10586666612265011,-1.0255041718482971,2670,,
,,,,4421,,,,68250,,,,91,15.0,15,,,,,,,,,,1.1095966,,,,1.08045282,,0.0035814642906188965,9.831250000000001e-05,0.2804019699494044,0.01237146,-0.03167931337735303,0.2,0.048206523060798645,0.13853333381315072,-1.0225459853808085,2700,,
,,,,4468,,,,69000,,,,92,15.0,15,,,,,,,,,,1.0105397,,,,1.03645336,,-0.023658275604248047,9.829375000000001e-05,0.36005603075027465,0.013911761,-0.03261109547618156,0.2,0.08112558722496033,0.12071111152569453,-1.0192814350128174,2730,,
,,,,4515,,,,69750,,,,93,15.0,15,,,,,,,,,,1.0714538,,,,1.08327335,,0.024313747882843018,9.8275e-05,0.23321322947740555,0.014559491,-0.03540208724733027,0.2,0.016252920031547546,0.12320000001539787,-1.0343250433603923,2760,,
,,,,,,,,70000,,,,,,,,,,,,,,,,1.0425347,,,,,,0.005665242671966553,9.825625e-05,0.3219739615917206,0.012803538,-0.02958319679542134,0.2,0.07081262022256851,0.1160888904084762,-1.0247235218683879,2790,15.0,1.213761603832245
,,,,4566,,,,70500,,,,94,15.05,15,,,,,,,,,,,,,,1.0876662,,,,,,,,,,,,,
