Rank,Player ID,Player Name,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts,pos,source,source_url
23,8851,"Folk, Nick",TEN,K,29.5,32.8,25.1,27.0,0.0,8.1,7.5,5.3,4.3,1.9,99.0,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
24,16339,"Carlson, Anders",GBP,K,35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
25,8930,"Prater, Matt",ARI,K,24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
26,13719,"Pineiro, Eddy",CAR,K,21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
27,16775,"Karty, Joshua",LAR,K,28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
28,11947,"McManus, Brandon",FA,K,32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
29,16681,"Reichard, Will",MIN,K,36.5,39.7,22.8,29.1,0.6,6.3,8.2,4.1,3.5,6.3,86.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
30,9694,"Gano, Graham",NYG,K,29.2,31.1,23.6,29.3,0.0,3.7,8.7,6.5,4.6,5.7,82.7,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
31,15999,"Ahmed, Ramiz",WAS,K,27.6,31.8,19.1,22.6,0.0,4.1,5.1,7.7,2.2,3.5,74.3,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
32,13898,"Joseph, Greg",GBP,K,27.1,28.5,19.0,24.1,0.0,4.8,7.8,3.0,3.4,5.1,68.7,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
33,15369,"Patterson, Riley",JAC,K,36.2,38.8,11.2,11.9,0.0,1.9,8.1,1.1,0.0,0.7,67.5,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
34,14600,"Slye, Joey",NEP,K,30.4,33.1,17.1,24.0,0.0,2.5,5.7,6.1,2.9,6.9,61.1,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
35,10862,"Bullock, Randy",NYG,K,21.2,21.2,10.1,11.8,0.0,1.0,4.2,3.3,1.6,1.7,46.3,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
36,16292,"Ryland, Chad",NEP,K,25.1,26.2,15.3,24.3,0.0,3.6,4.8,4.7,2.2,8.9,44.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
37,14426,"Wright, Matthew",PIT,K,0.5,0.5,2.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,6.5,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
38,16410,"Brown, Tanner",LAR,K,0.6,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
